time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-04-12T21:18:35.495Z,-4.7212,154.7887,453.2,4.4,mb,,59,6.94,0.78,us,us7000356z,2019-04-12T21:39:42.040Z,"184km NNW of Arawa, Papua New Guinea",earthquake,4.6,8.9,0.06,82,reviewed,us,us
2019-04-12T21:03:26.502Z,-17.4579,167.442,10,4.6,mb,,74,4.685,0.76,us,us7000356s,2019-04-12T21:48:25.040Z,"98km WNW of Port-Vila, Vanuatu",earthquake,4.9,1.9,0.151,13,reviewed,us,us
2019-04-12T20:15:08.585Z,-1.8535,122.6147,20.72,4.8,mww,,35,0.821,0.82,us,us7000355t,2019-04-13T16:16:35.040Z,"101km S of Luwuk, Indonesia",earthquake,2.3,5.1,0.089,12,reviewed,us,us
2019-04-12T19:24:30.910Z,21.3649,-45.9198,10,4.9,mb,,73,15.19,0.91,us,us70003559,2019-04-13T16:00:04.040Z,"Northern Mid-Atlantic Ridge",earthquake,8.3,1.8,0.037,233,reviewed,us,us
2019-04-12T19:00:36.696Z,61.8942,-151.0527,54.7,3,ml,,,,0.52,ak,ak0194p04po0,2019-04-13T18:04:02.665Z,"52km WNW of Willow, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-04-12T18:48:56.470Z,58.4341,-137.2264,5,2.8,ml,,156,0.708,1,us,us7000354q,2019-04-13T15:13:57.040Z,"87km W of Gustavus, Alaska",earthquake,2.8,2,0.044,69,reviewed,us,us
2019-04-12T18:40:47.641Z,61.2962,-146.8549,13,2.6,ml,,,,0.84,ak,ak0194ozrvkw,2019-04-13T14:51:14.040Z,"32km NW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-04-12T18:23:18.312Z,-1.7748,122.6092,27.95,4.4,mb,,39,0.746,0.88,us,us7000354f,2019-04-13T14:45:25.040Z,"93km SSW of Luwuk, Indonesia",earthquake,4.6,6.3,0.093,38,reviewed,us,us
2019-04-12T17:50:55.247Z,37.1402,-115.6497,10.4,2.7,ml,46,54.91,0.242,0.178,nn,nn00682148,2019-04-13T14:22:19.040Z,"49km WSW of Alamo, Nevada",earthquake,,1.9,0.27,29,reviewed,nn,nn
2019-04-12T15:08:29.644Z,-1.8534,122.6286,10,4.6,mb,,55,0.818,1.04,us,us7000350a,2019-04-12T16:52:43.040Z,"101km S of Luwuk, Indonesia",earthquake,4.4,1.9,0.182,9,reviewed,us,us
2019-04-12T15:03:13.839Z,-6.0211,129.1867,246.24,5,mb,,95,2.862,1.09,us,us70003505,2019-04-12T15:17:22.040Z,"277km SSE of Saparua, Indonesia",earthquake,10,10.4,0.146,15,reviewed,us,us
2019-04-12T14:58:56.664Z,56.261,-149.1169,8,3.4,ml,,,,1.14,ak,ak0194oxi0ni,2019-04-12T15:32:23.975Z,"262km SE of Kodiak, Alaska",earthquake,,3.4,,,reviewed,ak,ak
